epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.0095,1.71524,0.26786,1,1.68899,6.666e-05,6.666e-05,6.666e-05
2,1.93974,1.68444,0.23214,1,1.56465,0.000137281,0.000137281,0.000137281
3,2.58626,1.46964,0.30357,1,1.42398,0.000200202,0.000200202,0.000200202
4,3.26818,1.43918,0.30357,1,1.3353,0.000255424,0.000255424,0.000255424
5,4.003,1.1908,0.39286,1,1.18808,0.000302947,0.000302947,0.000302947
6,4.75747,1.12961,0.51786,1,1.05908,0.000342771,0.000342771,0.000342771
7,5.61514,1.09264,0.66071,1,0.84015,0.000374896,0.000374896,0.000374896
8,6.36978,1.08856,0.76786,1,0.78833,0.000399321,0.000399321,0.000399321
9,7.09765,0.95149,0.80357,1,0.69983,0.000416047,0.000416047,0.000416047
10,7.75374,0.92516,0.82143,1,0.66064,0.000425074,0.000425074,0.000425074
11,8.41769,0.78013,0.82143,1,0.61201,0.000426402,0.000426402,0.000426402
12,9.15118,0.78869,0.83929,1,0.5537,0.00042003,0.00042003,0.00042003
13,9.81834,0.74574,0.875,1,0.5004,0.000405959,0.000405959,0.000405959
14,10.452,0.8428,0.89286,1,0.46294,0.000384189,0.000384189,0.000384189
15,11.116,0.74284,0.89286,1,0.43287,0.000341077,0.000341077,0.000341077
16,11.7623,0.8317,0.91071,1,0.40297,0.000286083,0.000286083,0.000286083
17,12.4336,0.67724,0.92857,1,0.39874,0.000231088,0.000231088,0.000231088
18,13.2713,0.84608,0.91071,1,0.39982,0.000176094,0.000176094,0.000176094
19,13.9965,0.70653,0.92857,1,0.38109,0.000121099,0.000121099,0.000121099
20,14.982,0.75078,0.92857,1,0.38523,6.61045e-05,6.61045e-05,6.61045e-05
