epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.99104,1.68948,0.25,1,1.49988,0.00017776,0.00017776,0.00017776
2,3.97255,1.31201,0.59375,1,1.04727,0.000348482,0.000348482,0.000348482
3,13.1933,1.05959,0.75,1,0.66533,0.000500506,0.000500506,0.000500506
4,14.8348,0.88276,0.8125,1,0.534,0.000633831,0.000633831,0.000633831
5,16.5153,0.78742,0.92188,1,0.32722,0.000748458,0.000748458,0.000748458
6,18.1005,0.74462,0.95312,1,0.20945,0.000836027,0.000836027,0.000836027
7,19.9408,0.59685,0.95312,1,0.16946,0.000781033,0.000781033,0.000781033
8,22.7206,0.54668,0.9375,1,0.1291,0.000726038,0.000726038,0.000726038
9,30.4153,0.51712,0.96875,1,0.09328,0.000671044,0.000671044,0.000671044
10,31.9329,0.50228,0.96875,1,0.07239,0.000616049,0.000616049,0.000616049
11,33.4193,0.48883,0.96875,1,0.0724,0.000561055,0.000561055,0.000561055
12,35.0151,0.47883,0.96875,1,0.08226,0.00050606,0.00050606,0.00050606
13,36.8059,0.45625,0.98438,1,0.07466,0.000451066,0.000451066,0.000451066
14,45.9786,0.46163,0.98438,1,0.05317,0.000396071,0.000396071,0.000396071
15,47.4037,0.41705,1,1,0.04926,0.000341077,0.000341077,0.000341077
16,48.8317,0.43064,1,1,0.04625,0.000286083,0.000286083,0.000286083
17,50.4713,0.41018,0.98438,1,0.04598,0.000231088,0.000231088,0.000231088
18,51.831,0.40948,0.98438,1,0.04768,0.000176094,0.000176094,0.000176094
19,53.2281,0.37738,1,1,0.04305,0.000121099,0.000121099,0.000121099
20,60.4181,0.38396,1,1,0.04439,6.61045e-05,6.61045e-05,6.61045e-05
