epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.53001,1.48531,0.72388,1,0.99183,0.00031108,0.00031108,0.00031108
2,8.69898,0.93932,0.95522,1,0.27883,0.000627001,0.000627001,0.000627001
3,12.9248,0.53744,0.99254,1,0.09059,0.000936542,0.000936542,0.000936542
4,22.9669,0.4485,0.99254,1,0.04379,0.001078,0.001078,0.001078
5,27.1392,0.35951,0.97761,1,0.03992,0.001067,0.001067,0.001067
6,33.5162,0.37339,0.99254,1,0.02635,0.00105601,0.00105601,0.00105601
7,42.3262,0.32632,0.98507,1,0.02959,0.00104501,0.00104501,0.00104501
8,47.7228,0.27702,1,1,0.02088,0.00103401,0.00103401,0.00103401
9,59.1719,0.27039,1,1,0.0364,0.00102301,0.00102301,0.00102301
10,64.7015,0.28291,1,1,0.0591,0.00101201,0.00101201,0.00101201
11,76.2119,0.24413,0.99254,1,0.03557,0.00100101,0.00100101,0.00100101
12,84.3671,0.38436,1,1,0.02102,0.000990012,0.000990012,0.000990012
13,93.2416,0.29665,1,1,0.01891,0.000979013,0.000979013,0.000979013
14,104.777,0.25604,1,1,0.03197,0.000968014,0.000968014,0.000968014
15,108.82,0.27382,0.98507,1,0.06467,0.000957015,0.000957015,0.000957015
16,115.498,0.23599,0.99254,1,0.03464,0.000946016,0.000946016,0.000946016
17,123.973,0.21129,1,1,0.05496,0.000935018,0.000935018,0.000935018
18,131.954,0.20522,1,1,0.00931,0.000924019,0.000924019,0.000924019
19,140.314,0.16439,0.99254,1,0.01287,0.00091302,0.00091302,0.00091302
20,144.864,0.2496,0.99254,1,0.0316,0.000902021,0.000902021,0.000902021
21,155.492,0.23992,0.99254,1,0.02264,0.000891022,0.000891022,0.000891022
22,164.291,0.25767,1,1,0.04993,0.000880023,0.000880023,0.000880023
23,171.135,0.19676,1,1,0.03093,0.000869024,0.000869024,0.000869024
24,177.405,0.21891,1,1,0.02293,0.000858025,0.000858025,0.000858025
25,186.381,0.23752,1,1,0.00834,0.000847026,0.000847026,0.000847026
26,192.361,0.17178,1,1,0.00467,0.000836027,0.000836027,0.000836027
27,201.643,0.17264,1,1,0.00401,0.000825029,0.000825029,0.000825029
28,206.024,0.18962,1,1,0.01404,0.00081403,0.00081403,0.00081403
29,217.418,0.20614,0.99254,1,0.03293,0.000803031,0.000803031,0.000803031
30,221.729,0.26089,0.98507,1,0.03644,0.000792032,0.000792032,0.000792032
31,233.362,0.14802,1,1,0.01562,0.000781033,0.000781033,0.000781033
